title,rating,posterUrl,genre,cast,runtime
War Room,6.5,,Drama,Priscilla C. Shirer,120
Dragon Blade,6,,Action,Jackie Chan,127
45 Years,7.1,,Drama,Charlotte Rampling,91
Mother's Day,5.7,,Comedy,Jennifer Aniston,118
Suicide Squad,5.9,,Action,Will Smith,123
The Magnificent Seven,6.9,,Action,Denzel Washington,132
Captain America: Civil War,7.8,,Action,Chris Evans,147
Warcraft,6.8,,Action,Travis Fimmel,123
Deadpool,8,,Action,Ryan Reynolds,108
Doctor Strange,7.5,,Action,Benedict Cumberbatch,115
Split,7.3,,Horror,James McAvoy,117
Me Before You,7.4,,Drama,Emilia Clarke,106
Don't Breathe,7.1,,Crime,Stephen Lang,88
Lady Macbeth,6.8,,Drama,Florence Pugh,89
Moana,7.6,,Animation,Auli'i Cravalho,107
Arrival,7.9,,Drama,Amy Adams,116
X-Men: Apocalypse,6.9,,Action,James McAvoy,144
Captain Fantastic,7.9,,Comedy,Viggo Mortensen,118
Star Trek Beyond,7,,Action,Chris Pine,122
Sing,7.1,,Animation,Matthew McConaughey,108
La La Land,8,,Comedy,Ryan Gosling,128
The Conjuring 2,7.3,,Horror,Vera Farmiga,134
Passengers,7,,Drama,Jennifer Lawrence,116
Zootopia,8,,Animation,Ginnifer Goodwin,108
The Huntsman: Winter's War,6.1,,Action,Chris Hemsworth,114
Hacksaw Ridge,8.1,,Biography,Andrew Garfield,139
The Handmaiden,8.1,,Drama,Kim Min-hee,145
13 Hours,7.3,,Action,John Krasinski,144
Nocturnal Animals,7.5,,Drama,Amy Adams,116
Rogue One: A Star Wars Story,7.8,,Action,Felicity Jones,133
Batman v Superman: Dawn of Justice,6.4,,Action,Ben Affleck,152
Your Name.,8.4,,Animation,Ryûnosuke Kamiki,106
Kung Fu Panda 3,7.1,,Animation,Jack Black,95
The Nice Guys,7.4,,Action,Russell Crowe,116
Independence Day: Resurgence,5.2,,Action,Liam Hemsworth,120
Raw,7,,Drama,Garance Marillier,99
Miss Peregrine's Home for Peculiar Children,6.7,,Adventure,Eva Green,127
Fantastic Beasts and Where to Find Them,7.3,,Adventure,Eddie Redmayne,132
Train to Busan,7.6,,Action,Gong Yoo,118
Resident Evil: The Final Chapter,5.5,,Action,Milla Jovovich,107
Criminal,6.3,,Action,Kevin Costner,113
Underworld: Blood Wars,5.8,,Action,Kate Beckinsale,91
The Shallows,6.3,,Action,Blake Lively,86
Hidden Figures,7.8,,Biography,Taraji P. Henson,127
Sausage Party,6.1,,Animation,Seth Rogen,89
The Girl on the Train,6.5,,Crime,Emily Blunt,112
Hell or High Water,7.6,,Action,Chris Pine,102
The Purge: Election Year,6,,Action,Frank Grillo,108
Ghostbusters,6.7,,Action,Melissa McCarthy,117
The Accountant,7.3,,Action,Ben Affleck,128
The Neon Demon,6.2,,Horror,Elle Fanning,117
Moonlight,7.4,,Drama,Mahershala Ali,111
Jason Bourne,6.6,,Action,Matt Damon,123
Manchester by the Sea,7.8,,Drama,Casey Affleck,137
Central Intelligence,6.3,,Action,Dwayne Johnson,107
War Dogs,7.1,,Biography,Jonah Hill,114
The Legend of Tarzan,6.2,,Action,Alexander Skarsgård,110
Silence,7.2,,Drama,Andrew Garfield,161
American Honey,7,,Adventure,Sasha Lane,163
Gods of Egypt,5.4,,Action,Brenton Thwaites,127
Hunt for the Wilderpeople,7.9,,Adventure,Sam Neill,101
The Founder,7.2,,Biography,Michael Keaton,115
Inferno,6.2,,Action,Tom Hanks,121
Now You See Me 2,6.5,,Action,Jesse Eisenberg,129
Miss Sloane,7.5,,Drama,Jessica Chastain,132
