title,release_date,rating,vote_count,posetr url,genres,runtime,homepage,original_language,status,watch on,watch link
Avatar,10-12-2009,7.2,11800,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",162,http://www.avatarmovie.com/,en,Released,,
Pirates of the Caribbean: At World's End,19-05-2007,6.9,4500,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",169,http://disney.go.com/disneypictures/pirates/,en,Released,,
Spectre,26-10-2015,6.3,4466,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",148,http://www.sonypictures.com/movies/spectre/,en,Released,,
The Dark Knight Rises,16-07-2012,7.6,9106,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",165,http://www.thedarkknightrises.com/,en,Released,,
John Carter,07-03-2012,6.1,2124,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",132,http://movies.disney.com/john-carter,en,Released,,
Spider-Man 3,01-05-2007,5.9,3576,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",139,http://www.sonypictures.com/movies/spider-man3/,en,Released,,
Tangled,24-11-2010,7.4,3330,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",100,http://disney.go.com/disneypictures/tangled/,en,Released,,
Avengers: Age of Ultron,22-04-2015,7.3,6767,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",141,http://marvel.com/movies/movie/193/avengers_age_of_ultron,en,Released,,
Harry Potter and the Half-Blood Prince,07-07-2009,7.4,5293,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",153,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,en,Released,,
Batman v Superman: Dawn of Justice,23-03-2016,5.7,7004,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",151,http://www.batmanvsupermandawnofjustice.com/,en,Released,,
Superman Returns,28-06-2006,5.4,1400,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",154,http://www.superman.com,en,Released,,
Quantum of Solace,30-10-2008,6.1,2965,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",106,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,en,Released,,
Pirates of the Caribbean: Dead Man's Chest,20-06-2006,7,5246,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",151,http://disney.go.com/disneypictures/pirates/,en,Released,,
The Lone Ranger,03-07-2013,5.9,2311,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",149,http://disney.go.com/the-lone-ranger/,en,Released,,
Man of Steel,12-06-2013,6.5,6359,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",143,http://www.manofsteel.com/,en,Released,,
The Chronicles of Narnia: Prince Caspian,15-05-2008,6.3,1630,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",150,,en,Released,,
The Avengers,25-04-2012,7.4,11776,,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",143,http://marvel.com/avengers_movie/,en,Released,,
Pirates of the Caribbean: On Stranger Tides,14-05-2011,6.4,4948,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",136,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,en,Released,,
Men in Black 3,23-05-2012,6.2,4160,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",106,http://www.sonypictures.com/movies/meninblack3/,en,Released,,
The Hobbit: The Battle of the Five Armies,10-12-2014,7.1,4760,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",144,http://www.thehobbit.com/,en,Released,,
The Amazing Spider-Man,27-06-2012,6.5,6586,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",136,http://www.theamazingspiderman.com,en,Released,,
Robin Hood,12-05-2010,6.2,1398,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",140,http://www.robinhoodthemovie.com/,en,Released,,
