,movie_name,year,genre,Poster_url,director,cast,overview
0,Jawan,2023,"Action, Thriller",,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.
1,Jaane Jaan,2023,"Crime, Drama, Mystery",,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.
2,Jailer,2023,"Action, Comedy, Crime",,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
3,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family",,Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married."
4,OMG 2,2023,"Comedy, Drama",,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.
5,Sukhee,2023,Drama,,Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila","Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion."
6,The Great Indian Family,2023,Family,,Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit","Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth."
7,The BFG,2016,"Adventure, Family, Fantasy",,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
8,Pathaan,2023,"Action, Adventure, Thriller",,Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country."
9,Mastaney,2023,"Action, Drama, History",,Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are."
10,3 Idiots,2009,"Comedy, Drama",,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
11,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical",,Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
12,Lion,2016,"Biography, Drama",,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
13,Bholaa Shankar,2023,"Action, Drama",,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu",A doting brother tries to hunt down notorious criminals who had harmed his sister.
